Plot,Lat ,Lon,UTM E,UTM N,Elev
DeRe1,19.025806,-99.147111,484519,2103689,2490
DeRe2,19.025,-99.151528,484054,2103601,2500
DeRe3,19.027278,-99.150611,484151,2103853,2540
DeRe4,19.030083,-99.148639,484359,2104163,2570
DeRe5,19.026889,-99.153833,483812,2103810,2520
DeRe6,19.026139,-99.1459,484646,2103726,2478
DeRe7,19.029056,-99.150972,484113,2104049,2552
DeRe8,19.033083,-99.150278,484186,2104495,2630
DeRe9,19.025083,-99.151806,484025,2103610,2484
DeRe10,19.041639,-99.150361,484178,2105442,2750
DeSu1,19.029286,-99.084072,491153,2104070,2655
DeSu2,19.028833,-99.088778,490658,2104020,2618
DeSu3,19.031917,-99.092778,490237,2104362,2695
DeSu4,19.026333,-99.072194,492403,2103743,2488
DeSu5,19.031056,-99.072194,492403,2104265,2630
DeSu6,19.036667,-99.072,492424,2104886,2730
DeSu7,19.031694,-99.088139,490725,2104337,2696
DeSu8,19.028611,-99.082861,491280,2103995,2637
DeSu9,19.028167,-99.068556,492786,2103946,2525
DeSu10,19.029132,-99.084034,491157,2104053,2660
PreSuA1,19.021754,-99.108062,488628,2103238,2358
PreSuA2,19.023632,-99.112101,488203,2103446,2485
PreSuA3,19.02859,-99.117198,487667,2103995,2665
PreSuA4,19.02504,-99.128276,486501,2103603,2540
PreSuA5,19.033001,-99.129707,486351,2104484,2700
PreSuA6,19.039653,-99.128914,486435,2105220,2815
PreSuA7,19.021306,-99.119556,487418,2103189,2430
PreSuA8,19.03325,-99.135052,485789,2104512,2680
PreSuA9,19.034099,-99.111488,488268,2104604,2800
PreSuA10,19.024806,-99.13025,486293,2103577,2490
PreSuB1,18.993361,-99.117528,487630,2100097,1860
PreSuB2,18.997194,-99.120167,487352,2100521,1900
PreSuB3,19.001028,-99.122472,487110,2100946,1947
PreSuB4,19.000611,-99.109167,488510,2100899,2032
PreSuB5,19.010917,-99.143833,484863,2102042,2055
PreSuB6,19.006361,-99.142278,485026,2101537,1960
PreSuB7,19.018167,-99.132694,486035,2102843,2245
PreSuB8,19.003556,-99.123278,487025,2101226,1960
PreSuB9,18.991583,-99.121833,487176,2099901,1850
PreSuB10,19.009139,-99.130833,486231,2101844,2030
SinDe1,19.024,-99.056917,494010,2103484,2421
SinDe2,19.022639,-99.05425,494291,2103333,2390
SinDe3,19.028389,-99.052944,494429,2103970,2566
SinDe4,19.030842,-99.061203,493560,2104241,2630
SinDe5,19.032251,-99.057889,493908,2104397,2710
SinDe6,19.024833,-99.061222,493557,2103576,2425
SinDe7,19.031242,-99.053069,494416,2104285,2690
SinDe8,19.032544,-99.063986,493267,2104430,2665
SinDe9,19.028,-99.045,495265,2103926,2700
SinDe10,19.025722,-99.055806,494127,2103675,2470
Tepoz1,19.008667,-99.091917,490326,2101789,2275
Tepoz2,18.999806,-99.103556,489101,2100809,2074
Tepoz3,19.007389,-99.081417,491431,2101647,2120
Tepoz4,18.989944,-99.071528,492471,2099716,1921
Tepoz5,18.996444,-99.067611,492884,2100435,1967
Tepoz6,19.013333,-99.087889,490750,2102305,2322
Tepoz7,19.00975,-99.084167,491142,2101908,2183
Tepoz8,19.007806,-99.090556,490469,2101694,2190
Tepoz9,18.996472,-99.107778,488656,2100441,2020
Tepoz10,19.00775,-99.093222,490189,2101688,2277