ba,cov,den,hei
1873.1,207.32,16,11.5
654.7,85.36,7,12.3
7205.8,315.53,20,25
1569.7,119.5,8,14.9
2007.8,194.76,3,16
10038.8,442.6,9,24
3315.8,202.95,15,19
7583.3,242.54,7,25.3
14591.5,394.98,4,55
11629,398.57,10,25
2028.6,98.89,6,11.3
4709.3,167.9,16,11.5
5266,288.81,15,16.3
4030.9,299.57,19,13
2521.1,108.37,6,16.3
5174.5,275.04,8,24
6654.5,199.26,7,15
4236.3,207.1,7,12
3821.3,272.78,16,13.5
3604,174.18,4,11
3436.1,156.7,7,12.1
4933,337.56,7,24.5
1027.9,64.4,8,8.7
4427.8,168.04,11,19.5
12085.4,423.13,11,25.5
5393,225.15,11,18.8
2104.9,109.55,3,12
3176.8,136.85,8,15.2
1578.4,134.13,19,7.2
8191.8,397.11,9,24
3422.5,138.49,11,10.8
4785.1,244.2,8,21
15.2,5.77,1,2.9
992.9,152.86,14,11.8
5308.6,226.56,7,12
2421.8,370.39,22,11.9
8126.2,415,4,23.2
6233.6,654.75,7,21
6046.3,478.68,8,20
4953.4,447.36,8,17.5
1492.5,123.04,7,8.5
2326.7,185.77,5,11.8
2263.6,103.28,7,7.3
677.6,17.43,3,5.5
1973.1,114.49,9,11.5
343.1,33.18,1,8.6
2628.5,161.44,6,11.2
2898.9,168.99,9,10.3
2065,79.28,3,7.3
2898.6,55.53,11,8.3
54.9,27.68,11,10.8
2283,185.54,8,8.9
5447.2,310.11,4,20
1339.3,122.73,8,7.6
3017.3,291.98,9,14.5
4109.4,252.84,11,14.6
4450,316.71,11,16
5614.5,247.46,5,14
1296.1,180.92,8,9.5
5048.7,266.82,6,17.4